iata,tags
AGS,Golf
AGT,Dark economy
AGT,German|
AGT,Soybeans
AGU,|US|Durango & Zacatecas
AGU,Autos
AHB,|SA|Egyptian
AHB,|SA|Pakistani
AHB,Petrochemicals
AIP,|CA|Punjabi
AJF,Oil
AKJ,Paper & furniture
AKL,|NZ|Indian
AKL,|NZ|Samoan
AKL,Dairy
AKL,Logistics APAC
AKL,Polynesia
AKL,TV / movies
AKN,Arctic fishing
AKU,Cotton
AKU,Sunni|
ALA,Belt & Road|
ALA,Cryptocurrency
ALA,Gazprom
ALA,LNG
ALA,Logistics CIS
ALA,Oil
ALA,Sinopec
ALB,Dairy
ALB,Semiconductors
ALB,Wind energy
ALC,British Sunny Vacay x2|
ALC,Ceramics
ALC,Mediterranean Ag
ALC,Water
ALF,Boreal
ALF,Finnish|
ALG,|CA|Algerian x2
ALG,|FR|Algerian x2
ALG,Logistics EU Med
ALG,Oil
ALG,Petrochemicals
ALO,Wind energy
ALP,|BR|Syrian
ALP,|NL|Syrian
ALS,UFOs
AMA,Ranching
AMA,UFOs
AMA,Wind energy
AMD,|KE|Gujarati
AMD,Auto parts
AMD,Ceramics
AMD,Dairy
AMD,Fabrics
AMD,Heavy industry
AMD,Pharma
AMD,Regional banking APAC
AMD,Textiles
AMH,|US|Ethiopian
AMH,|ZA|Ethiopian
AMM,Humanitarian NGO
AMM,Islamic finance
AMM,Pharma
AMQ,Tropical fishing
AMS,|NL|Ghanaian
AMS,|NL|Indonesian
AMS,|NL|Moroccan
AMS,|NL|Surinamese
AMS,|NL|Turkish
AMS,Beer
AMS,Diamonds
AMS,Drug trafficking
AMS,Eurozone banking
AMS,Horticulture
AMS,Offshore finance
AMS,Oil
AMS,Orange Sunshine
AMS,Semiconductors
AMV,Gazprom
ANC,|US|Samoan
ANC,Alaska Milk Run
ANC,Arctic fishing
ANC,Arctic oil
ANC,LNG
ANF,|CL|Venezuelan
ANF,Copper
ANF,Science megastructure
ANR,Chocolate
ANR,Diamonds
ANR,Drug trafficking
ANR,Global logistics
ANR,Logistics EU Med
ANR,Loves Tiroler Unterlan x2|
ANR,Petrochemicals
ANR,Telco
AOG,Steel
AOG,Tea
AOI,Footwear
AOJ,Forestry
AOJ,Horticulture
AOJ,Uranium
AOR,Monsoon Ag
AOR,Rubber
APL,Agriculture
APL,Cotton
APN,Maple syrup
APW,Polynesia
AQ0,Polar research
AQG,Copper
AQP,Copper
AQP,Spirits
ARH,Arctic fishing
ARH,Rosneft
ARH,Taiga
ARI,Water
ARK,Conservation
ARK,Nordic|
ARM,Ranching
ARN,|NL|Syrian
ARN,|SE|Iraqi
ARN,Anglophone|
ARN,Life sciences
ARN,Software
ARN,Telco
ARU,Latifundia Legacy
ASB,LNG
ASB,Oil
ASF,Gazprom
ASI,Commonwealth ties
ASP,Cryptids
ASP,Spirituality
ASR,CPG & Retail
ASU,Soybeans
ATH,|AU|Greek
ATH,Marine
ATH,Mediterranean Ag
ATL,|US|Colombian
ATL,|US|Korean
ATL,|US|Nigerian
ATL,Back office
ATL,CPG & Retail
ATL,Healthcare admin
ATL,Logistics NAC
ATL,Professional services
ATL,Regional banking US
ATL,TV / movies
ATQ,|CA|Punjabi
ATQ,Cotton
ATQ,Potato
ATW,Nordic|
AUA,Orange Sunshine
AUH,|AE|Malayali
AUH,|AE|Nigerian
AUH,|AE|Pakistani
AUH,|AE|Russian
AUH,Aluminum
AUH,Asset management
AUH,Islamic finance
AUH,Marine
AUH,Oil refining
AUH,Water
AUS,|US|Durango & Zacatecas
AUS,|US|Pakistani
AUS,Academia
AUS,Computers
AUS,Cryptocurrency
AUS,Life sciences
AUS,Renewables
AUS,Semiconductors
AUS,Software
AVA,Potato
AVA,Rice
AVL,Academia
AVL,Beer
AVL,Paper & furniture
AVL,Spirituality
AVV,|AU|Indian
AVV,|AU|Italian
AVV,Petrochemicals
AWZ,NIOC
AWZ,Steel
AXD,Mediterranean marine
AXM,Poultry
AYT,|DK|Turkish
AYT,|NL|Turkish
AYT,|TR|Afghan
AYT,Anglophone|
AYT,Dutch|
AYT,German|
AYT,Nordic|
AYT,Polish|
AYT,Russian Vacay x2|
AYT,Russian|
AZD,Ceramics
AZS,Sugar
BAG,Evangelicalism
BAH,Aluminum
BAH,Islamic finance
BAH,LNG
BAQ,|CL|Colombian
BAQ,|MX|Colombian
BAQ,|US|Colombian
BAR,Monsoon Ag
BAV,Aluminum
BAV,Coal CN
BAV,Rare earths
BBI,Back office
BBI,Steel
BBK,Conservation
BBK,Gemstones
BCD,Agriculture
BCN,|ES|Ecuadorian
BCN,|ES|Romanian
BCN,Apparel
BCN,Logistics EU Med
BCN,Mediterranean marine
BDA,Offshore finance
BDA,Spirits
BDB,Sugar
BDH,NIOC
BDJ,Coal CN
BDJ,Diamonds
BDL,|US|Irish American
BDL,|US|Polish
BDL,|US|Stateside Puerto Ricans
BDL,Academia
BDL,Healthcare admin
BDO,Electronics
BDO,Fabrics
BDO,Tea
BDQ,Dairy
BDQ,Textiles
BDS,Mediterranean marine
BEG,|DE|Serbian
BEG,|FR|Serbian
BEG,Copper
BEG,Gazprom
BEG,Logistics EU Med
BEG,Machinery
BEL,|BR|Nikkei
BEL,Agribusiness
BEL,Amazonia
BER,|DE|Iranian
BER,|DE|Serbian
BER,|DE|Turkish
BER,Advertising & media
BER,Renewables
BER,Telco
BES,Marine
BET,Arctic oil
BEY,Humanitarian NGO
BEY,Lebanese|
BFI,Academia
BFI,Aerospace
BFI,Northwest Passage
BFL,Hispanic|
BFL,Logistics NAC
BFL,Mediterranean Ag
BFS,Textiles
BGA,Latifundia Legacy
BGF,Peacekeeping
BGF,Sapeur Network
BGI,Rum
BGO,Equinor
BGO,Loves Spain|
BGO,Marine
BGO,Offshore oil
BGO,Titanium
BGO,Wind energy
BGW,|SE|Iraqi
BGW,|TR|Iraqi
BGW,PetroChina
BGW,Shia|
BGY,|IT|Romanian
BGY,Footwear
BGY,Machinery
BGY,Textiles
BHE,Viticulture
BHI,Petrochemicals
BHI,Sheep
BHJ,|KE|Gujarati
BHM,Academia
BHM,Heavy industry
BHO,Soybeans
BHQ,Copper FIFO
BHQ,Zinc
BHX,|GB|Indian
BHX,Loves Alps|
BHX,Machinery
BHY,Logistics APAC
BHY,Marine
BIL,Big Sky
BIL,Coal
BIL,Forestry
BIL,Oil fracking
BIO,Atlantic Fishing
BIO,Fine cheese
BIO,Steel
BIO,Wind energy
BIQ,Surfing
BIS,Big Sky
BIS,Nordic|
BJA,|FR|Algerian x2
BJL,Anglophone|
BJL,Dutch|
BJL,Peanuts
BJR,|ZA|Ethiopian
BJV,Anglophone|
BJV,Dutch|
BJV,Francophonie|
BJV,Polish|
BJX,Apparel
BJX,Footwear
BKI,Chinese tourism|
BKI,Indian Ocean fishing
BKI,Korean Vacay x2|
BKI,Offshore oil
BKI,Spices / Tropical Ag
BKI,Textiles
BKK,|TH|Chinese
BKK,Belt & Road|
BKK,CPG & Retail
BKK,Electronics
BKK,Humanitarian NGO
BKK,Poultry
BKK,Regional banking APAC
BKO,Gold
BKS,Geothermal
BLA,PDVSA
BLJ,|FR|Algerian x2
BLL,Dairy
BLL,Jutland capital journeys
BLL,Toys
BLQ,Ceramics
BLQ,CPG & Retail
BLQ,Machinery
BLR,|OM|Kannada
BLR,Back office
BLR,Life sciences
BLR,Software
BLR,Sunni|
BLR,Telco
BLZ,Tea
BMA,Anglophone|
BMI,Academia
BMO,Rare earths
BNA,Auto parts
BNA,Evangelicalism
BNA,Healthcare admin
BNA,Regional banking US
BNA,TV / movies
BND,Aluminum
BND,Logistics MEA
BNE,|AU|Chinese
BNE,|AU|Indian
BNE,|AU|Vietnamese
BNE,Golden Triangle x2
BNE,LNG
BNE,Logistics APAC
BNE,Renewables
BNE,Surfing
BNK,Spirituality
BOD,|FR|Algerian x2
BOD,Viticulture
BOG,|CL|Colombian
BOG,|MX|Colombian
BOG,|US|Colombian
BOG,Back office
BOG,Coffee
BOG,Colonial ties bind
BOG,Horticulture
BOG,Puente Aéreo x2
BOI,Forestry
BOI,Healthcare admin
BOI,Paper & furniture
BOI,Potato
BOI,Semiconductors
BOJ,Agriculture
BOJ,Anglophone|
BOJ,Czech|
BOJ,Mediterranean marine
BOJ,Nordic|
BOJ,Polish|
BOJ,Russian|
BOM,|SG|Marathi
BOM,Bollywood 2 Bureaucracy x2
BOM,Diamonds
BOM,Islamic finance
BOM,Pharma
BOM,Professional services
BOM,Regional banking APAC
BOM,Sunni|
BOM,Telco
BOM,TV / movies
BON,Orange Sunshine
BOO,Arctic fishing
BOO,Equinor
BOS,|US|Brazilian
BOS,|US|Irish American
BOS,Academia
BOS,Asset management
BOS,Life sciences
BOS,Professional services
BOS,Regional banking US
BOS,Software
BPE,Marine
BPN,Heavy industry
BPN,Nickel
BPN,Oil
BPT,Equinor
BPT,Oil refining
BPX,Baijiu
BQN,Rum
BQS,Defense RU
BRC,Lusophone|
BRD,Paper & furniture
BRE,|DE|Polish
BRE,Agribusiness
BRE,Loves Arctic|
BRE,Nordic|
BRE,Wind energy
BRI,Mediterranean Ag
BRI,Viticulture
BRN,Fine cheese
BRO,Aerospace
BRO,Hispanic|
BRS,Aerospace
BRS,Fine cheese
BRS,Loves Alps|
BRS,Tobacco
BRU,|CD|Congolese
BRU,Beer
BRU,Bureaucracy
BRU,CPG & Retail
BRU,Eurozone banking
BRU,Pharma
BRU,Professional services
BRW,Arctic oil
BRW,LNG
BRX,Sugar
BSB,Agribusiness
BSB,Bureaucracy
BSB,Coffee
BSB,Petrobras
BSD,Tobacco
BSL,Cryptocurrency
BSL,Loves Alps|
BSL,Pharma
BSL,Semiconductors
BSR,|SE|Iraqi
BSR,|TR|Iraqi
BSR,Oil
BSR,Shia|
BTH,Electronics
BTH,Shipbuilding
BTJ,Indian Ocean fishing
BTJ,Surfing
BTR,Academia
BTR,ExxonMobil
BTR,LNG
BTR,Oil refining
BTS,Autos
BTS,Machinery
BTU,LNG
BTU,Manganese
BTV,Academia
BTV,Fine cheese
BTV,Maple syrup
BUD,Autos
BUD,Back office
BUD,Eurozone banking
BUD,New energy
BUD,TV / movies
BUF,Agribusiness
BUF,Machinery
BUF,Oil fracking
BUF,Regional banking US
BUQ,Logistics MEA
BUQ,Zim Connect
BUR,Aerospace
BUR,Hispanic|
BUR,Luxury goods
BUR,SoCal NoCal
BUR,TV / movies
BUZ,Logistics MEA
BUZ,Mediterranean marine
BUZ,NIOC
BUZ,Petrochemicals
BVA,|FR|Algerian x2
BVA,|FR|Moroccan
BVA,|FR|Polish
BVA,|FR|Serbian
BVA,|FR|Tunisian x2
BVA,Aerospace
BVA,L'Hexagone Hop
BVA,Software
BVB,Petrobras
BVC,Dutch|
BVE,Offshore oil
BVJ,Gazprom
BWI,|US|Guatemalan
BWI,|US|Nigerian
BWI,|US|Salvadoran
BWI,Defense
BWI,Healthcare admin
BWI,Logistics NAC
BWN,LNG
BWN,Offshore oil
BWN,Sinophone|
BWN,Spices / Tropical Ag
BXH,Zinc Eurasia
BZL,Rice
BZN,Big Sky
BZN,Mountaineering
BZO,German|
BZO,Loves Alps|
BZV,Zinc
CAB,Francophonie|
CAB,Offshore oil
CAE,Academia
CAG,Fine cheese
CAG,Mediterranean Ag
CAH,Tropical fishing
CAI,Bureaucracy
CAI,Logistics MEA
CAK,Logistics NAC
CAK,Rubber
CAN,Apparel
CAN,Auto parts
CAN,Autos
CAN,Belt & Road|
CAN,Cantonese|
CAN,Chinese tourism|
CAN,Electronics
CAN,Footwear
CAN,Global logistics
CAN,Logistics APAC
CAN,Machinery
CAN,Sinopec
CAN,Software
CAY,CC|
CAY,L'Hexagone Hop
CAY,Loves French Antilles|
CAY,Space
CAZ,Copper FIFO
CBB,|AR|Bolivian
CBB,|BR|Bolivian
CBR,Bureaucracy
CBR,Defense
CCJ,|AE|Malayali
CCJ,|MY|Malayali
CCJ,|OM|Malayali
CCJ,|SA|Malayali
CCJ,Spices / Tropical Ag
CCJ,Sunni|
CCK,Malay|
CCP,|CL|Venezuelan
CCP,Heavy industry
CCP,Paper & furniture
CCP,Seafood
CCP,Viticulture
CCS,|PE|Venezuelan
CCS,|US|Venezuelan
CCS,Oil
CCS,PDVSA
CCU,|CA|Bengali
CCU,|US|Bengali
CCU,Bengali|
CCU,Logistics APAC
CCU,Sunni|
CCU,Tea
CDG,|FR|Algerian x2
CDG,|FR|Jewish
CDG,|FR|Moroccan
CDG,|FR|Polish
CDG,Advertising & media
CDG,Autos
CDG,Eurozone banking
CDG,Investment banking
CDG,L'Hexagone Hop
CDG,Luxury goods
CDG,Nuclear energy
CDG,Professional services
CDG,Software
CDT,|ES|Romanian
CDV,Alaska Milk Run
CEB,|CA|Filipino
CEB,|IE|Filipino
CEB,|IT|Filipino
CEB,|SA|Filipino
CEB,|US|Filipino
CEB,Appliances
CEB,Back office
CEB,Chinese tourism|
CEB,Electronics
CEB,Rum
CEB,Tropical fishing
CEC,Forestry
CEE,Gazprom
CEE,Paper & furniture
CEE,Steel
CEI,Forestry
CEI,Tea
CEK,Heavy industry
CEN,Copper
CFB,Petrobras
CFR,Nuclear energy
CFU,Anglophone|
CFU,German|
CFU,Italian|
CGB,Ranching
CGB,Soybeans
CGB,Sugar
CGH,|US|Brazilian
CGH,Agribusiness
CGH,Evangelicalism
CGH,Logistics LATAM
CGH,Pharma
CGH,Ponte Aérea x2
CGI,Zinc
CGK,|ID|Chinese
CGK,|ID|Tamil
CGK,|KH|Indonesian
CGK,|NL|Indonesian
CGK,|SR|Indonesian
CGK,Autos
CGK,Coffee
CGK,CPG & Retail
CGK,Islamic finance
CGK,Steel
CGK,Tea
CGN,|DE|Polish
CGN,|DE|Turkish
CGN,Advertising & media
CGN,Aerospace
CGN,Auto parts
CGN,Eurozone banking
CGN,Loves Arctic|
CGO,|CA|Chinese
CGO,Agribusiness
CGO,Chinese tourism|
CGO,Computers
CGO,Cotton
CGO,Cryptocurrency
CGO,Titanium
CGP,Apparel
CGP,Fabrics
CGP,Heavy industry
CGP,Tea
CGQ,Autos
CGQ,Fabrics
CGQ,Nickel
CGQ,Zinc Eurasia
CGR,|BR|Nikkei
CGR,Agribusiness
CGY,Horticulture
CGY,Logistics APAC
CHA,Whiskey
CHC,|NZ|Indian
CHC,|NZ|Samoan
CHC,Agribusiness
CHC,Dairy
CHC,Logistics APAC
CHC,Polar research
CHG,Autos
CHO,Academia
CHQ,Anglophone|
CHQ,German|
CHQ,Nordic|
CHQ,Polish|
CHS,Aerospace
CHS,Logistics NAC
CIA,|IT|Romanian
CIA,Telco
CID,Soybeans
CIF,Coal CN
CIT,PetroChina
CIT,Sheep
CIU,Forestry
CIX,Poultry
CJB,|AE|Tamil
CJB,|ID|Tamil
CJB,|MY|Tamil
CJB,Pharma
CJB,Tea
CJB,Textiles
CJB,Titanium
CJC,Copper
CJC,Gemstones
CJC,Science megastructure
CJC,Water
CJJ,Computers
CJJ,Electronics
CJS,Electronics
CJS,Logistics NAC
CKG,|AU|Chinese
CKG,|CA|Chinese
CKG,|ID|Chinese
CKG,|TH|Chinese
CKG,|US|Chinese
CKG,Autos
CKG,Bauxite
CKG,Chinese tourism|
CKG,Electronics
CKG,Logistics APAC
CKS,Iron ore
CKW,Iron ore
CKY,Agriculture
CKY,Bauxite
CKZ,Mediterranean marine
CLE,|US|Stateside Puerto Ricans
CLE,Appliances
CLE,Healthcare admin
CLE,Life sciences
CLE,Regional banking US
CLJ,|ES|Romanian
CLJ,|IT|Romanian
CLJ,Back office
CLJ,Vampiric
CLL,Evangelicalism
CLO,|CL|Colombian
CLO,|MX|Colombian
CLO,|US|Colombian
CLO,Agribusiness
CLO,Drug trafficking
CLO,Puente Aéreo x2
CLQ,|US|Jalisco & Michoacán
CLT,Logistics NAC
CLT,Nuclear energy
CLT,Regional banking US
CLV,Ranching
CMB,Apparel
CMB,Gemstones
CMB,German|
CMB,Indian Ocean fishing
CMB,Tea
CME,Pemex
CMG,|BR|Nikkei
CMG,Manganese
CMH,|US|Jalisco & Michoacán
CMH,|US|Somali
CMH,Academia
CMH,Regional banking US
CMI,Academia
CMI,Coal
CMN,|CA|Moroccan
CMN,|FR|Moroccan
CMN,|NL|Moroccan
CMN,Apparel
CMN,Francophonie|
CMN,Logistics EU Med
CMN,Logistics MEA
CMN,Peacekeeping
CND,Mediterranean marine
CND,Polish|
CNF,Agribusiness
CNF,Autos
CNF,Bauxite
CNF,Coffee
CNF,Dairy
CNF,Steel
CNJ,Gold FIFO
CNN,|AE|Malayali
CNN,|MY|Malayali
CNN,|OM|Malayali
CNN,|SA|Malayali
CNS,|AU|Indian
CNS,Cryptids
CNS,Sugar
CNS,Tropical fishing
CNX,Chinese tourism|
CNX,Spices / Tropical Ag
CNX,Sugar
COD,Coal seam gas
COD,Oil fracking
COK,|AE|Malayali
COK,|MY|Malayali
COK,|OM|Malayali
COK,|SA|Malayali
COK,Back office
COK,Indian Ocean fishing
COK,Rare earths
COK,Rubber
COK,Spices / Tropical Ag
COR,Autos
COR,Loves Florianopolis x2|
COR,Peanuts
COR,Ranching
COS,Defense
COS,Evangelicalism
COU,Soybeans
COV,Logistics EU Med
COV,Mediterranean Ag
CPC,Polar research
CPD,Oil fracking
CPE,Pemex
CPH,|DK|Turkish
CPH,Asset management
CPH,Beer
CPH,Jutland capital journeys
CPH,Marine
CPH,Pharma
CPH,Renewables
CPO,Copper
CPR,Coal
CPT,Back office
CPT,Logistics MEA
CPT,Mediterranean Ag
CPT,Viticulture
CPT,Water
CRK,|CA|Filipino
CRK,|IE|Filipino
CRK,|IT|Filipino
CRK,|SA|Filipino
CRK,|US|Filipino
CRK,Back office
CRK,CPG & Retail
CRK,Dark economy
CRK,Electronics
CRP,Hispanic|
CRP,Offshore oil
CRP,Ranching
CRP,Wind energy
CRW,Coal
CRZ,Oil
CSX,Agribusiness
CSX,Chinese tourism|
CSX,Electronics
CSX,Heavy industry
CSX,Machinery
CTA,|AU|Italian
CTA,|BR|Italian
CTA,|US|Italian
CTA,Mediterranean Ag
CTG,Anglophone|
CTG,Coffee
CTG,Petrochemicals
CTL,Coal seam gas
CTM,Pemex
CTS,Arctic fishing
CTS,Beer
CTS,Whiskey
CTU,Agribusiness
CTU,Autos
CTU,Computers
CTU,Electronics
CTU,New energy
CTU,Spirituality
CUI,Gold
CUK,Anglophone|
CUL,Drug trafficking
CUL,Latifundia Legacy
CUM,PDVSA
CUN,|MX|Bolivian
CUN,Anglophone|
CUN,Casinos
CUN,Dark economy
CUN,Loves Cancun x2|
CUR,Orange Sunshine
CUU,Appliances
CUU,Autos
CUU,Logistics NAC
CUZ,Colonial ties bind
CUZ,Logistics LATAM
CUZ,Mountaineering
CUZ,Potato
CUZ,Spirituality
CVG,CPG & Retail
CVG,Logistics NAC
CVG,Regional banking US
CVQ,Sheep
CWA,Maple syrup
CWB,|BR|Nikkei
CWB,|BR|Polish
CWB,Appliances
CWB,Paper & furniture
CWB,UFOs
CXH,Northwest Passage
CXI,Polynesia
CXR,Chinese tourism|
CXR,Korean Vacay x2|
CXR,Rice
CXR,Russian Vacay x2|
CXR,Tropical fishing
CYI,Oil refining
CYS,Big Sky
CZL,|FR|Algerian x2
CZM,Anglophone|
CZM,Loves Cancun x2|
CZX,Autos
CZX,Machinery
CZX,New energy
DAC,Apparel
DAC,Fabrics
DAC,Monsoon Ag
DAC,Peacekeeping
DAC,Tea
DAC,Textiles
DAD,|AU|Vietnamese
DAD,|JP|Vietnamese
DAD,|US|Vietnamese
DAD,Appliances
DAD,Drug trafficking
DAD,Fabrics
DAD,Korean Vacay x2|
DAD,Rubber
DAD,Tropical fishing
DAL,Aerospace
DAL,Arctic oil
DAL,Oil
DAL,Oil fracking
DAL,Ranching
DAM,|BR|Syrian
DAM,|NL|Syrian
DAM,Shia|
DAR,Logistics MEA
DAR,Spices / Tropical Ag
DAY,Healthcare admin
DBO,Rare earths
DBO,Sheep
DBV,Mediterranean Ag
DCA,Asset management
DCA,Bureaucracy
DCA,Defense
DCA,Healthcare admin
DCA,NA Capitols|
DCA,Professional services
DCA,Space
DCA,US military
DDC,Grain Belt
DEC,Soybeans
DED,Spirituality
DEL,Bollywood 2 Bureaucracy x2
DEL,Bureaucracy
DEL,CPG & Retail
DEL,Regional banking APAC
DEL,Sunni|
DEN,|US|Ethiopian
DEN,Aerospace
DEN,Asset management
DEN,Cryptocurrency
DEN,Defense
DEN,Gold
DEN,Logistics NAC
DEN,Mountaineering
DEN,Regional banking US
DEN,Renewables
DEN,Software
DEN,Telco
DFW,|US|Chinese
DFW,|US|Durango & Zacatecas
DFW,|US|Indian
DFW,|US|Jalisco & Michoacán
DFW,Defense
DFW,Oil
DFW,Professional services
DFW,Regional banking US
DFW,Semiconductors
DFW,Telco
DGO,|US|Durango & Zacatecas
DGT,Geothermal
DHA,Oil
DHN,Peanuts
DIB,Oil
DIK,Oil fracking
DIL,Offshore oil
DIY,Agriculture
DKR,Agriculture
DLA,Chocolate
DLA,Logistics MEA
DLA,Offshore oil
DLB,Coal seam gas
DLC,Poultry
DLC,Shipbuilding
DLC,Sinopec
DLC,Software
DLE,Fine cheese
DLG,Arctic oil
DLH,Nordic|
DLI,Coffee
DLI,Korean Vacay x2|
DLM,Anglophone|
DLM,Dutch|
DLM,German|
DLM,Nordic|
DLZ,Coal CN
DLZ,Copper
DME,|AE|Russian
DME,|RU|Armenian
DME,|US|Russian
DME,Cryptocurrency
DME,Defense RU
DME,Nickel
DME,Nuclear energy
DME,PDVSA
DME,Regional banking APAC
DME,Russian Vacay x2|
DMK,|TH|Chinese
DMK,Appliances
DMK,Autos
DMK,Chinese tourism|
DMK,Rice
DMM,|SA|Bangladeshi
DMM,|SA|Egyptian
DMM,|SA|Filipino
DMM,|SA|Indonesian
DMM,|SA|Malayali
DMM,|SA|Pakistani
DMM,Offshore oil
DMM,Oil
DMM,Petrochemicals
DMM,Water
DND,Equinor
DNK,Grain Belt
DNK,Manganese
DNZ,Geothermal
DNZ,Textiles
DOH,Belt & Road|
DOH,LNG
DOH,Logistics MEA
DOH,NIOC
DOH,Offshore oil
DOL,Fine cheese
DOL,Logistics EU Med
DOU,Ranching
DOY,Sinopec
DPS,|ID|Chinese
DPS,|ID|Tamil
DPS,|KH|Indonesian
DPS,|NL|Indonesian
DPS,|SR|Indonesian
DPS,Chinese tourism|
DPS,Dutch|
DPS,Loves Bali x2|
DPS,Offshore oil
DPS,Surfing
DPS,Tropical fishing
DQA,PetroChina
DQM,Oil refining
DRO,Oil fracking
DRP,Geothermal
DRS,Pharma
DRS,Semiconductors
DRW,Offshore oil
DRW,Titanium
DRW,US military
DSM,|US|Jalisco & Michoacán
DSM,Agribusiness
DSM,Grain Belt
DSN,Coal CN
DSN,PetroChina
DSS,Humanitarian NGO
DSS,Logistics MEA
DSS,Oil refining
DSS,Peacekeeping
DSS,Sapeur Network
DTM,|DE|Serbian
DTM,Logistics EU Med
DTM,Loves Arctic|
DTM,Petrochemicals
DTW,Auto parts
DTW,Autos
DTW,Regional banking US
DTW,Sunni|
DUB,|IE|Polish
DUB,|US|Irish American
DUB,Asset management
DUB,Beer
DUB,Golf
DUB,Investment banking
DUB,Offshore finance
DUB,Pharma
DUB,Professional services
DUB,Whiskey
DUD,Academia
DUD,Fine cheese
DUE,Diamonds
DUR,|ZA|Ethiopian
DUR,Agribusiness
DUR,Logistics MEA
DUS,|DE|Serbian
DUS,|DE|Turkish
DUS,Eurozone banking
DUS,Loves Arctic|
DUS,Steel
DUT,Arctic fishing
DVL,Grain Belt
DVO,|CA|Filipino
DVO,|GU|Filipino
DVO,|IE|Filipino
DVO,|IT|Filipino
DVO,|SA|Filipino
DVO,|US|Filipino
DVO,Chocolate
DVO,Spices / Tropical Ag
DVO,Tropical fishing
DWC,|AE|Malayali
DWC,|AE|Pakistani
DWC,|AE|Russian
DWC,Aluminum
DWD,Renewables
DXB,|AE|Malayali
DXB,|AE|Nigerian
DXB,|AE|Pakistani
DXB,|AE|Russian
DXB,Asset management
DXB,Belt & Road|
DXB,Cryptocurrency
DXB,Global logistics
DXB,Islamic finance
DXB,Luxury goods
DXB,Oil
DXB,Professional services
DYG,Rice
DYU,Logistics CIS
DYU,Oil
DZA,L'Hexagone Hop
EAT,Horticulture
EAU,|US|Somali
EAU,Nordic|
EAU,Paper & furniture
EBB,Coffee
EBB,Evangelicalism
EBD,Peanuts
EBJ,Equinor
EBL,|SE|Iraqi
EBL,Oil
ECN,Sunni|
ECN,Turkish|
ECP,US military
EDI,|UK|Polish
EDI,Academia
EDI,Asset management
EDI,Commonwealth ties
EDI,Golf
EDI,Life sciences
EDI,Loves Alps|
EDI,Whiskey
EG1,Polar research
EG9,Polar research
EGA,Anglophone|
EGO,Iron ore
EGR,Anglophone|
EGR,Polar research
EH1,Equinor
EIN,CPG & Retail
EIN,Dairy
EIN,Orange Sunshine
EIN,Pharma
EIN,Semiconductors
EIS,Offshore finance
EJA,Coal
EKO,Gold FIFO
ELP,Hispanic|
ELP,Horticulture
ELP,Logistics NAC
ELP,Oil
ELP,US military
ELP,Water
ELS,Auto parts
ELS,Platinum
EMA,Aerospace
EMA,Fine cheese
EMA,Logistics EU Med
EMD,Coal
EMD,Coal seam gas
ENA,LNG
END,Equinor
ENO,Grain Belt
ENQ,Equinor
ENX,Equinor
ESB,|DK|Turkish
ESB,|NL|Turkish
ESB,|TR|Afghan
ESB,|TR|Iranian
ESB,|TR|Iraqi
ESB,Bureaucracy
ESM,Latifundia Legacy
EUG,Academia
EUG,Cryptids
EUG,Footwear
EUG,Spirituality
EUX,Orange Sunshine
EVE,Loves Arctic|
EVN,|FR|Armenian
EVN,|RU|Armenian
